id,sku,short_description,price,list_price,quantity_sold,favourite_count,discount,discount_rate,review_count,rating_average,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name,,
171897574,4.85909E+12,"Snapdragon 680 mạnh mẽ, tiết kiệm điệnĐiện thoại Xiaomi Redmi 10C được tích hợp bộ vi xử lý tám nhân với tên gọi Snapdragon 680. Đây là con chip sản xuất trên tiến trình 6nm đem lại hiệu năng hàng đầ...",2950000,4390000,257,0,1440000,33,61,4.8,available,,1000,1000,,25422,Xiaomi,,
198648645,7.1029E+12,"Thiết kế mặt da lưng sang trọngĐiện thoại Xiaomi Redmi A1 có thiết kế hoàn toàn mới cả về vẻ bề ngoài lẫn trải nghiệm cầm nắm. Mặt lưng của máy được hoàn thiện từ da sang trọng, rất thời trang và tạo...",1790000,2490000,160,0,700000,28,36,4.7,available,,1000,1000,,25422,Xiaomi,,
273258825,9.6163E+12, ...,3090000,3950000,57,0,860000,22,7,5,available,,1000,1000,,18802,Samsung,,
270160350,6.25527E+12,"OPPO A78 - Camera AI hàng đầu, thiết kế thời thượngLà mẫu điện thoại tầm trung đầu tiên được ra mắt trong tháng 7 năm 2023, OPPO A78 sở hữu nhiều điểm mới trong thiết kế, khả năng chụp hình và kết nố...",5990000,6990000,20,0,1000000,14,6,4.8,available,,1000,1000,,25643,OPPO,,
125590981,4.72817E+12,"Giải trí hoàn hảo với màn hình siêu rộng 6.82” chuẩn HD+ mang đến trải nghiệm giải trí sắc nét và thưởng thức nội dung trọn vẹn.Pin bền bỉ dài ngày, Pin trâu bền bỉ 6000 mAh cho thời gian làm việc và ...",1550000,1550000,114,0,0,0,35,4.8,available,,1000,1000,,19673,Nokia,,
215902961,5.8572E+12,"Thông số kỹ thuật: Màn hình: IPS LCD, 6.08"", Full HD+ Hệ điều hành: Android 10Camera sau: Chính 8 MP & Phụ 8 MP, 2 MP Camera trước: 8 MP CPU: MTK6739 Quad core RAM: 3GB Bộ nhớ trong: 32 GB...",1059000,1699000,75,0,640000,38,22,4.3,available,,1000,1000,,111684,Itel,,
272348047,3.43461E+12,"Điện Thoại Samsung A05s 4GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, cáp dữ liệu, tài liệu hướng dẫn, dụng cụ lấy sim.Màn hình 6.7 inch lớn nhất dòng Galaxy A- Được trang bị màn hình ...",3289000,3990000,17,0,701000,18,4,5,available,,1000,1000,,18802,Samsung,,
248590019,5.10286E+12,"Đặc điểm nổi bật của Xiaomi Redmi 12C 3GB - 32GBThông số kỹ thuậtMàn hình 6.71 inch, IPS LCD, HD+, 720 x 1650 PixelsCamera sau 50.0 MP + 0.08 MPCamera Selfie 5.0 MP + 5.0 MPRAM 4 GBBộ nhớ trong ...",2008000,3590000,49,0,1582000,44,8,5,available,,1000,1000,,25422,Xiaomi,,
123345348,6.35277E+12,"Điện Thoại iPhone 12iPhone 12 đẩy nhanh mọi tác vụ với mạng 5G siêu nhanh.1 A14 Bionic, chip nhanh nhất trên điện thoại thông minh. Hệ thống camera kép mới. Với màn hình Super Retina XDR tuyệt đẹp, n...",12650000,16990000,2783,0,4340000,26,1272,5,available,,1000,1000,,17827,Apple,,
259542697,3.48425E+12,"Xiaomi Redmi Note 12S sẽ là chiếc điện thoại tiếp theo được nhà Xiaomi tung ra thị trường Việt Nam trong tháng 05/2023. Điện thoại sở hữu một lối thiết kế hiện đại, màn hình hiển thị chi tiết đi cùng...",4790000,6690000,58,0,1900000,28,17,4.6,available,,1000,1000,,25422,Xiaomi,,
272909668,6.07639E+12,...,8690000,8990000,2,0,300000,3,1,4,available,,1000,1000,,52232,Vivo,,
195323206,5.14656E+12,"Vivo Y22s sở hữu màn hình IPS LCD 6.55 inches, ở mặt trước máy có màn hình viền mỏng với camera selfie hình giọt nước. Mặt sau là hệ thống camera kép khá to, với thiết kế đèn led đặt ngang một bên. Có...",4990000,5990000,4,0,1000000,17,2,5,available,,1000,1000,,52232,Vivo,,
194037967,9.92253E+12,Nhỏ gọn trong lòng bàn tay của bạnSamsung Galaxy Z Flip4 256GB sở hữu ngoại hình bắt trend với các cạnh được gia công phẳng một cách tinh tế. Ra mắt với 4 phiên bản màu sắc giúp người dùng có thêm nh...,14990000,25990000,97,0,11000000,42,33,5,available,,1000,1000,,18802,Samsung,,
271118390,8.55601E+12,"Là một trong những chiếc smartphone mới nhất của OPPO trên thị trường hiện nay, OPPO Reno10 5G mang trên mình bộ áo đẹp mắt, hiệu năng ổn định đi cùng với đó là khả năng nhiếp ảnh vượt trội, đáp ứng m...",9390000,10990000,17,0,1600000,15,7,5,available,,1000,1000,,25643,OPPO,,
264051058,4.66603E+12, '...,2790000,3290000,3,0,500000,15,1,5,available,,1000,1000,,52232,Vivo,,
248762051,4.98918E+12,"Điện Thoại Samsung A34 5G 8GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, cáp sạc, dụng cụ lấy sim, sách hướng dẫn. Màn hình hiển thị tươi mới, rực rỡ- Được trang bị màn hình Super Amole...",5649000,8490000,15,0,2841000,33,7,4.7,available,,1000,1000,,18802,Samsung,,
